,id,lat,lon
14510,1589696901,53.7015463,91.3560270
14511,1589696919,53.7015900,91.3518126
14512,1589696921,53.7015967,91.3474904
14513,1589696933,53.7016252,91.3572968
14514,1589696935,53.7016370,91.3513364
14515,1589696938,53.7016564,91.3548485
14516,1589696943,53.7016958,91.3565251
14517,1589696948,53.7017000,91.3575984
14518,1589696953,53.7017166,91.3568829
14519,1589696959,53.7017519,91.3550028
14520,1589696960,53.7017662,91.3513166
14521,1589696978,53.7017867,91.3495110
14522,1589696981,53.7017872,91.3576896
14523,1589696993,53.7018220,91.3498880
14524,1589696995,53.7018308,91.3511281
14525,1589697030,53.7018815,91.3582506
14526,1589697032,53.7018924,91.3502352
14527,1589697058,53.7019284,91.3576966
14528,1589697061,53.7019365,91.3522640
14529,1589697073,53.7019482,91.3511777
14530,1589697086,53.7019659,91.3520210
14531,1589697109,53.7020246,91.3508503
14532,1589697119,53.7020246,91.3514456
14533,1589697124,53.7020565,91.3478239
14534,1589697128,53.7020737,91.3562725
14535,1589697132,53.7020745,91.3492729
14536,1589697134,53.7021039,91.3503245
14537,1589697142,53.7021244,91.3517928
14538,1589697144,53.7021298,91.3560972
14539,1589697153,53.7021890,91.3512174
14540,1589697161,53.7022108,91.3571214
14541,1589697167,53.7022232,91.3565321
14542,1589697168,53.7022419,91.3554869
14543,1589697171,53.7022536,91.3518126
14544,1589697175,53.7022566,91.3492233
14545,1589697198,53.7022855,91.3567636
14546,1589697201,53.7022947,91.3529486
14547,1589697205,53.7023208,91.3555219
14548,1589697207,53.7023250,91.3558657
14549,1589697208,53.7023270,91.3503443
14550,1589697223,53.7023513,91.3574073
14551,1589697227,53.7023887,91.3523285
14552,1589697228,53.7024176,91.3484148
14553,1589697229,53.7024328,91.3497987
14554,1589697230,53.7024533,91.3537323
14555,1589697234,53.7025179,91.3523484
14556,1589697235,53.7025267,91.3504634
14557,1589697238,53.7026236,91.3518226
14558,1589697243,53.7026970,91.3501062
14559,1589697245,53.7027058,91.3541986
14560,1589697249,53.7027587,91.3523781
14561,1589697250,53.7027624,91.3567128
14562,1589697253,53.7028321,91.3502352
14563,1589697256,53.7028556,91.3495110
14564,1589697257,53.7028856,91.3543083
14565,1589697259,53.7028908,91.3505626
14566,1589697264,53.7029701,91.3543772
14567,1589697265,53.7029789,91.3501658
14568,1589697266,53.7029819,91.3529982
14569,1589697267,53.7029848,91.3499475
14570,1589697269,53.7030494,91.3498384
14571,1589697270,53.7030641,91.3538811
14572,1589697271,53.7031002,91.3489771
14573,1589697273,53.7031610,91.3499376
14574,1589697276,53.7032197,91.3497888
14575,1589697277,53.7032256,91.3499178
14576,1589697279,53.7032726,91.3515448
14577,1589697288,53.7035787,91.3546939
14578,1589697290,53.7037373,91.3527792
14579,1589697294,53.7038430,91.3530371
14580,1589697295,53.7038929,91.3537911
14581,1589697296,53.7039223,91.3534588
14582,1589697299,53.7039578,91.3496728
14583,1589697302,53.7040678,91.3512549
14584,1589697304,53.7040960,91.3501684
14585,1589697306,53.7041129,91.3506450
14586,1589697308,53.7041524,91.3515408
14587,1589697317,53.7044683,91.3507879
14588,1589697322,53.7046207,91.3504734
14589,1589701778,53.7554393,91.4164254
14590,1589701779,53.7554176,91.4162418
14591,1589701781,53.7556249,91.4164388
14592,1589701783,53.7557692,91.4165702
14593,1589701883,53.7558627,91.4166399
14594,1589701919,53.7560086,91.4167348
14595,1589701924,53.7561722,91.4167669
14596,1589701950,53.7563248,91.4167871
14597,1589701952,53.7563667,91.4167840
14598,1589701968,53.7564286,91.4167471
14599,1589702022,53.7564653,91.4169202
14600,1589702167,53.7564930,91.4169054
14601,1589702181,53.7565489,91.4165591
14602,1589702187,53.7565707,91.4168518
14603,1589702352,53.7566126,91.4164852
14604,1589702377,53.7566381,91.4167502
14605,1589702719,53.7566800,91.4166485
14606,1589702741,53.7566982,91.4163897
14607,1589702861,53.7567419,91.4163311
14608,1589702975,53.7567766,91.4165191
14609,1589702991,53.7567770,91.4162703
14610,1589703094,53.7568458,91.4162017
14611,1589703119,53.7569824,91.4161494
14612,1589703819,53.7569624,91.4159583
14613,1589703832,53.7570188,91.4158289
14614,1589703842,53.7570316,91.4160785
14615,1589703933,53.7570385,91.4157365
14616,1589703940,53.7570735,91.4160785
14617,1589703952,53.7571008,91.4161124
14618,1589703956,53.7570698,91.4156934
14619,1589704088,53.7571500,91.4156348
14620,1589704204,53.7573477,91.4163960
14621,1589704211,53.7572314,91.4176577
14622,1589704219,53.7572296,91.4177655
14623,1589704255,53.7572478,91.4180305
14624,1589704256,53.7572636,91.4172614
14625,1589704266,53.7573074,91.4170588
14626,1589704269,53.7573134,91.4169829
14627,1589704271,53.7572574,91.4154838
14628,1589704279,53.7573366,91.4165053
14629,1589704292,53.7573389,91.4165731
14630,1589704363,53.7573157,91.4154654
14631,1589704429,53.7573134,91.4167395
14632,1589704552,53.7573261,91.4166224
14633,1589704581,53.7573562,91.4154429
14634,1589704807,53.7574043,91.4154526
14635,1589704990,53.7574968,91.4154297
14636,1589704992,53.7575441,91.4144742
14637,1589705005,53.7575441,91.4145335
14638,1589705006,53.7575528,91.4144248
14639,1589705007,53.7575528,91.4146521
14640,1589705008,53.7575528,91.4147114
14641,1589705011,53.7575671,91.4149477
14642,1589705015,53.7575879,91.4142913
14643,1589705019,53.7575557,91.4153025
14644,1589705021,53.7576405,91.4141085
14645,1589705047,53.7071432,91.4581431
14646,1589705048,53.7072394,91.4594869
14647,1589705049,53.7072566,91.4594028
14648,1589705050,53.7073185,91.4579632
14649,1589705051,53.7073855,91.4579516
14650,1589705052,53.7074198,91.4592199
14651,1589705053,53.7074404,91.4592867
14652,1589705054,53.7075384,91.4591735
14653,1589705055,53.7076672,91.4586191
14654,1589705056,53.7077995,91.4609613
14655,1589705057,53.7078665,91.4611268
14656,1589705058,53.7079610,91.4607930
14657,1589705059,53.7079816,91.4612226
14658,1589705060,53.7081053,91.4606566
14659,1589705061,53.7083819,91.4607291
14660,1589705062,53.7084729,91.4606566
14661,1589705063,53.7084798,91.4605666
14662,1589705064,53.7085588,91.4607175
14663,1589705065,53.7085726,91.4608191
14664,1589705066,53.7575156,91.4154732
14665,1589705067,53.7574455,91.4158282
14666,1589705070,53.7576609,91.4140640
14667,1589705073,53.7576726,91.4135204
14668,1589705080,53.7576755,91.4135748
14669,1589705081,53.7576784,91.4130114
14670,1589705083,53.7576843,91.4137823
14671,1589705084,53.7576872,91.4133722
14672,1589705085,53.7576901,91.4123195
14673,1589705086,53.7576901,91.4123788
14674,1589705163,53.7576931,91.4124381
14675,1589705214,53.7576931,91.4129323
14676,1589705218,53.7576931,91.4134364
14677,1589705271,53.7576960,91.4137280
14678,1589705281,53.7576960,91.4138762
14679,1589705334,53.7576960,91.4139751
14680,1589705335,53.7577018,91.4136736
14681,1589705336,53.7577077,91.4121762
14682,1589705337,53.7577077,91.4139207
14683,1589705339,53.7577223,91.4128532
14684,1589705340,53.7577252,91.4127939
14685,1589705472,53.7577340,91.4120576
14686,1589705492,53.7577369,91.4119983
14687,1589705827,53.7577398,91.4117660
14688,1589705932,53.7577398,91.4119439
