,0
1050,8080536639
1051,8080536651
1052,8080536642
1053,8080536652
1054,8080536648
1055,8080536647
1056,8080536649
1057,8080536643
1058,613489505
1059,8080536646
1060,8080536641
1061,8080536653
1062,8080536645
1063,8080536663
1064,8080536644
1065,8080536657
1066,8080536662
1067,8080536659
1068,8080536656
1069,8080536661
1070,8080536658
1071,8080536660
1072,8080536664
1073,8080536655
1074,8080536665
1075,8080536654
1076,613489507
1077,8080536666
1078,8080536668
1079,8080536669
1080,8080536667
1081,8080536671
1082,8080536672
1083,8080536670
1084,613489508
1085,8080536673
1086,8080536674
1087,8080536675
1088,8080536676
1089,8080536677
1090,8080536678
1091,8080536679
1092,8080536680
1093,613489509
1094,8080536693
1095,8080536692
1096,8080536691
1097,8080536690
1098,8080536682
1099,8080536689
1100,8080536681
1101,8080536688
1102,8080536687
1103,8080536686
1104,8080536685
1105,8080536684
1106,613489510
1107,8080536683
1108,8080536704
1109,8080536703
1110,8080536706
1111,8080536705
1112,613489512
1113,8080536702
1114,8080536700
1115,8080536696
1116,8080536699
1117,8080536698
1118,8080536701
1119,8080536697
1120,613489515
1121,8080536694
1122,8080536695
1123,8080809435
1124,8080809434
1125,8080809433
1126,8080809432
1127,8080809430
1128,613489517
1129,8080809431
1130,8080809438
1131,8080809437
1132,8080809436
1133,613489519
1134,8080809439
1135,8080809442
1136,8080809441
1137,8080809440
1138,613489521
1139,8080809448
1140,8080809443
1141,8080809447
1142,8080809446
1143,8080809445
1144,8080809444
1145,613489523
1146,8080809451
1147,8080809450
1148,8080809452
1149,8080809453
1150,8080809454
1151,8080809449
1152,613489525
1153,8080809455
1154,8080809456
1155,613489526
1156,8080809457
1157,8080775639
1158,8080809458
1159,8080809459
1160,613489529
1161,8080809460
1162,8080809461
1163,8080775640
1164,8080809466
1165,8080809465
1166,8080809464
1167,8080809463
1168,8080809468
1169,8080809462
1170,8080809469
1171,613489530
1172,8080809467
1173,8080775641
1174,8080809472
1175,8080809471
1176,8080809473
1177,613489533
1178,8080809470
1179,8080809476
1180,8080809477
1181,8080809475
1182,8080809478
1183,8080809474
1184,8080775642
1185,8080809479
1186,613489535
1187,8080809480
1188,8080809481
1189,8080775643
1190,8080809482
1191,8080809483
1192,8080775644
1193,8080809484
1194,8080809485
1195,8080809486
1196,8080809487
1197,8080809488
1198,613489537
1199,8080809490
1200,8080809491
1201,8080809492
1202,8080775645
1203,8080809489
1204,8080809495
1205,8080809494
1206,8080809496
1207,8080809493
1208,8080775646
1209,8080809497
1210,8080809499
1211,8080809498
1212,8080775647
1213,8080809500
1214,8080809501
1215,8080775648
1216,8080809503
1217,8080809504
1218,8080775649
1219,8080809502
1220,8080809505
1221,8080775650
1222,8080809506
1223,8080775638
1224,8080775651
1225,8080809507
1226,8080809508
1227,8080775652
1228,8080809512
1229,8080809511
1230,8080809510
1231,8080809509
1232,613489539
1233,8080775653
1234,613489541
1235,8080826976
1236,8080826974
1237,8080826975
1238,8080826969
1239,8080826973
1240,8080826970
1241,8080826967
1242,8080826972
1243,8080826968
1244,8080826966
1245,8080826971
1246,8080826965
1247,8080826964
1248,8080826963
1249,8080826962
1250,8080826961
1251,8080826960
1252,8080826959
1253,8080826958
