,lat_from,lon_from,lat_to,lon_to
14164,53.7405559,91.4404228,53.7404903,91.4405043
14165,53.7404903,91.4405043,53.7403707,91.4405010
14166,53.7403707,91.4405010,53.7403514,91.4406967
14167,53.7403514,91.4406967,53.7403996,91.4408500
14168,53.7403996,91.4408500,53.7403611,91.4413261
14169,53.7403611,91.4413261,53.7403611,91.4413862
14170,53.7393821,91.4452864,53.7394646,91.4455137
14171,53.7394646,91.4455137,53.7395509,91.4455219
14172,53.7395509,91.4455219,53.7397798,91.4464402
14173,53.7397798,91.4464402,53.7397942,91.4464980
14174,53.7397942,91.4464980,53.7399807,91.4468548
14175,53.7399807,91.4468548,53.7400902,91.4469394
14176,53.7400902,91.4469394,53.7402102,91.4471654
14177,53.7402102,91.4471654,53.7404358,91.4473810
14178,53.7404358,91.4473810,53.7405866,91.4473914
14179,53.7405866,91.4473914,53.7407257,91.4472346
14180,53.7407257,91.4472346,53.7409181,91.4473023
14181,53.7409181,91.4473023,53.7415019,91.4471735
14182,53.7415019,91.4471735,53.7418978,91.4471392
14183,53.7418978,91.4471392,53.7422633,91.4470104
14184,53.7422633,91.4470104,53.7425679,91.4470104
14185,53.7425679,91.4470104,53.7428572,91.4468817
14186,53.7428572,91.4468817,53.7430396,91.4468344
14187,53.7430323,91.4402757,53.7426528,91.4402138
14188,53.7430632,91.4417914,53.7430647,91.4420805
14189,53.7417767,91.4417028,53.7418541,91.4417635
14190,53.7370548,91.4410965,53.7370752,91.4410786
14191,53.7409102,91.4416115,53.7412591,91.4415996
14192,53.7415769,91.4425828,53.7415348,91.4425639
14193,53.7414513,91.4416296,53.7414855,91.4416262
14194,53.7420038,91.4433746,53.7419774,91.4431818
14195,53.7430323,91.4402757,53.7430081,91.4404741
14196,53.7430081,91.4404741,53.7428606,91.4406925
14197,53.7428606,91.4406925,53.7427623,91.4407855
14198,53.7427623,91.4407855,53.7426986,91.4409730
14199,53.7426986,91.4409730,53.7427420,91.4410496
14200,53.7427420,91.4410496,53.7427835,91.4410578
14201,53.7427835,91.4410578,53.7427516,91.4411507
14202,53.7427516,91.4411507,53.7426870,91.4411980
14203,53.7426870,91.4411980,53.7426822,91.4413415
14204,53.7426822,91.4413415,53.7427121,91.4413757
14205,53.7427121,91.4413757,53.7427488,91.4413252
14206,53.7427488,91.4413252,53.7427989,91.4413806
14207,53.7427989,91.4413806,53.7427902,91.4414833
14208,53.7427902,91.4414833,53.7428018,91.4415795
14209,53.7428018,91.4415795,53.7427574,91.4416855
14210,53.7427574,91.4416855,53.7426658,91.4416219
14211,53.7426658,91.4416219,53.7426379,91.4417540
14212,53.7426379,91.4417540,53.7425578,91.4419187
14213,53.7425578,91.4419187,53.7424643,91.4420638
14214,53.7424643,91.4420638,53.7424778,91.4421339
14215,53.7418541,91.4417635,53.7418841,91.4416113
14216,53.7418841,91.4416113,53.7419319,91.4415675
14217,53.7419319,91.4415675,53.7419796,91.4416759
14218,53.7419796,91.4416759,53.7420873,91.4417220
14219,53.7420873,91.4417220,53.7420914,91.4415952
14220,53.7420914,91.4415952,53.7419755,91.4415583
14221,53.7419755,91.4415583,53.7419209,91.4415414
14222,53.7419209,91.4415414,53.7419148,91.4414112
14223,53.7419148,91.4414112,53.7419325,91.4412578
14224,53.7419325,91.4412578,53.7420178,91.4412797
14225,53.7420178,91.4412797,53.7420082,91.4414215
14226,53.7420082,91.4414215,53.7420512,91.4414792
14227,53.7420512,91.4414792,53.7421269,91.4415161
14228,53.7421269,91.4415161,53.7421357,91.4416902
14229,53.7421357,91.4416902,53.7421732,91.4415818
14230,53.7421732,91.4415818,53.7422523,91.4415853
14231,53.7422523,91.4415853,53.7422387,91.4414238
14232,53.7422387,91.4414238,53.7423719,91.4410812
14233,53.7423719,91.4410812,53.7424061,91.4410813
14234,53.7424061,91.4410813,53.7424242,91.4403708
14235,53.7424242,91.4403708,53.7424596,91.4402317
14236,53.7424596,91.4402317,53.7424901,91.4402078
14237,53.7424901,91.4402078,53.7426528,91.4402138
14238,53.7418524,91.4430818,53.7419315,91.4430956
14239,53.7419315,91.4430956,53.7419774,91.4431818
14240,53.7403611,91.4413862,53.7403841,91.4416066
14241,53.7403841,91.4416066,53.7403960,91.4418615
14242,53.7419774,91.4431818,53.7419109,91.4433101
14243,53.7419109,91.4433101,53.7418155,91.4431625
14244,53.7418155,91.4431625,53.7418524,91.4430818
14245,53.7364825,91.4411746,53.7365669,91.4411546
14246,53.7365669,91.4411546,53.7369235,91.4410483
14247,53.7369235,91.4410483,53.7370136,91.4411896
14248,53.7418524,91.4430818,53.7418483,91.4429642
14249,53.7418483,91.4429642,53.7418442,91.4427820
14250,53.7418442,91.4427820,53.7415769,91.4425828
14251,53.7385851,91.4428039,53.7385950,91.4428286
14252,53.7385950,91.4428286,53.7386400,91.4428263
14253,53.7386400,91.4428263,53.7388135,91.4431141
14254,53.7388135,91.4431141,53.7388240,91.4433613
14255,53.7412384,91.4434843,53.7411455,91.4432670
14256,53.7411455,91.4432670,53.7411734,91.4431149
14257,53.7411734,91.4431149,53.7415020,91.4428221
14258,53.7415020,91.4428221,53.7415348,91.4425639
14259,53.7421323,91.4424947,53.7417235,91.4424947
14260,53.7417235,91.4424947,53.7416495,91.4424046
14261,53.7416495,91.4424046,53.7415750,91.4424589
14262,53.7415750,91.4424589,53.7415769,91.4425828
14263,53.7424778,91.4421339,53.7423347,91.4422696
14264,53.7423347,91.4422696,53.7422910,91.4422558
14265,53.7422910,91.4422558,53.7421696,91.4424910
14266,53.7421696,91.4424910,53.7421323,91.4424947
14267,53.7414855,91.4416262,53.7415067,91.4417256
14268,53.7415067,91.4417256,53.7415761,91.4416653
14269,53.7415761,91.4416653,53.7416513,91.4417109
14270,53.7416513,91.4417109,53.7417767,91.4417028
14271,53.7426822,91.4424437,53.7426472,91.4425494
14272,53.7426472,91.4425494,53.7426169,91.4426409
